순번,충전소 관리번호,충전소 명,전화번호,도로명 주소,지번 주소,충전소 유형코드,충전소 유형명,충전소유형비고,충전가능차량코드,충전가능차량,판매가격,이용가능요일,월요일 시작,월요일 종료,화요일 시작,화요일종료,수요일 시작,수요일 종료,목요일 시작,목요일 종료,금요일 시작,금요일 종료,토요일 시작,토요일 종료,일요일 시작,일요일 종료,공휴일 시작,공휴일 종료,휴식 시간,휴식 종료,경도,위도
11,4155020121HS2019003,안성휴게소(부산 하행) 수소충전소,031-651-5384,경기도 안성시 영봉로 139,경기도 안성시 현수동 86,1,단독,,1,승용,8000,11111111,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,,,127.1453655,37.01259066
12,4167020121HS2019004,여주휴게소(강릉) 수소충전소,031-881-6130,경기도 여주시 여주남로 722 여주휴게소,경기도 여주시 가남읍 본두리 689-1 여주휴게소,2,복합,LPG,1,승용,8000,11111111,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,,,127.5709543,37.23871656
13,3171020121HS2019005,그린복합충전소,052-239-9600,울산광역시 울주군 웅촌로 490,울산광역시 울주군 웅촌면 곡천리 1-11,2,복합,주유소,1,승용,7000,11111111,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,,,129.3340024,35.46367713
14,3020020121HS2019006,대전 학하수소충전소,042-716-7362,대전광역시 유성구 유성대로 437,대전광역시 유성구 학하동 400-2,1,단독,,1,승용,8200,11111111,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,,,127.3162946,36.33591899
15,4688020121HS2019008,백양사휴게소(논산) 수소충전소,061-393-0257,경상북도 성주군 중부내륙고속도로 98,전남 장성군 북일면 박산리 152-3,2,복합,"LPG,주유소,전기",1,승용,8000,11111111,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,,,126.8077397,35.39366693
16,4812320121HS2019009,창원 센트럴수소충전소,055-275-1565,경남 창원시 성산구 중앙대로21번길 5,경상남도 창원시 성산구 성주동 175,1,단독,,1,승용,8000,11111111,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,,,128.6740744,35.21786153
17,3171020121HS2019010,언양휴게소(서울) 수소충전소,052-263-6146,울산광역시 울주군 온산로 256,울산광역시 울주군 온산읍 학남리 9-1,2,복합,"LPG,주유소,전기",1,승용,8000,11111111,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,,,129.1420555,35.59892628
18,4784020121HS2019011,성주휴게소(양평) 수소충전소,054-933-0820,경상남도 창원시 의창구 소계로 1,경상북도 성주군 초전면 용봉리 897-13,2,복합,"주유소,전기",1,승용,8000,11111111,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,,,128.2616553,36.00828725
19,2644020121HS2019012,서부산NK수소충전소,051-711-0580,부산광역시 강서구 가락대로 347,부산광역시 강서구 송정동 803-6,1,단독,,1,승용,8800,11111100,08:30,18:30,08:30,18:30,08:30,18:30,08:30,18:30,08:30,18:30,08:30,18:30,,,,,,,128.8432977,35.11316969
20,2653020121HS2019013,H부산수소충전소,051-317-2777,부산광역시 사상구 학감대로 167,부산광역시 사상구 학장동 271-12,2,복합,CNG,1,승용,8800,11111111,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,,,128.9881799,35.14574547
21,1156020121HS2019014,H국회수소충전소,070-8882-7742,서울 영등포구 의사당대로 1,서울 영등포구 여의도동 1,1,단독,,5,승용/버스,8800,11111111,08:00,00:00,08:00,00:00,08:00,00:00,08:00,00:00,08:00,00:00,08:00,22:00,08:00,22:00,08:00,22:00,,,126.9150871,37.52820124
22,4145020121HS2019015,H하남드림휴게소(양방향) 수소충전소,031-793-5800,경기도 하남시 중부고속도로 117-2,경기도 하남시 천현동 383-4,2,복합,LPG,1,승용,8000,11111111,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,,,127.2070107,37.53069207
23,4873020121HS2019016,H함안휴게소(부산) 수소충전소,055-583-9341,경상남도 함안군 군북면 현포로 205,경상남도 함안군 군북면 유현리 993-6,2,복합,"LPG,주유소",1,승용,8000,11111111,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,,,128.3476952,35.29288662
24,4427020121HS2019017,당진 H2스테이션,041-358-7571,충남 당진시 정미면 서해로 4916,충남 당진시 정미면 사관리 96-12,1,단독,,1,승용,7800,11111000,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,,,,,,,,126.7073849,36.97531503
25,2820020121HS2019018,H인천수소충전소 에코스테이션,032-446-9094,인천광역시 남동구 청능대로468번길 1,인천광역시 남동구 고잔동 246-15,2,복합,LPG,1,승용,8800,11111111,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,,,126.7115504,37.39867196
26,4812520121HS2019019,창원 덕동수소충전소,055-244-7716,경상남도 창원시 마산합포구 현동로 252,경남 창원시 마산합포구 덕동동 838,1,단독,,5,승용/버스,8000,11111111,04:30,00:00,04:30,00:00,04:30,00:00,04:30,00:00,04:30,00:00,04:30,00:00,04:30,00:00,04:30,00:00,,,128.5636404,35.13442028
27,1174020121HS2020001,H강동수소충전소,02-426-5372,서울특별시 강동구 천호대로 1452 복지상일충전소 B동,서울특별시 강동구 상일동 443-5 복지상일충전소 B동,2,복합,"LPG,주유소,전기",1,승용,8800,11111111,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,,,127.1700659,37.54509091
28,4311420121HS2020002,충북 청주 도원수소충전소,043-214-7788,충청북도 청주시 청원구 충청대로 771 부3,충청북도 청주시 청원구 내수읍 도원리 175-1 부3,2,복합,주유소,1,승용,8250,11111111,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,13:00,18:00,13:00,18:00,08:00,20:00,,,127.5338244,36.7119168
29,4313020121HS2020003,충북 E1 연수LPG충전소,043-856-8338,충청북도 충주시 금봉대로 605 연수LPG충전소,충청북도 충주시 연수동 315-6 연수LPG충전소,2,복합,LPG,1,승용,8250,11111111,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,,,127.9450205,36.98875029
30,4571020121HS2020004,H완주 수소충전소,063-262-0083,전라북도 완주군 과학로 930,전라북도 완주군 봉동읍 둔산리 951-6,1,단독,,6,승용/버스/트럭,8800,11111111,05:00,22:30,05:00,22:30,05:00,22:30,05:00,22:30,05:00,22:30,05:00,22:30,05:00,22:30,05:00,22:30,,,127.126075,35.95195953
31,4311420121HS2020005,충북 청주 수소충전소(관문),043-211-6604,충청북도 청주시 청원구 양청농소길 101,충청북도 청주시 청원구 오창읍 농소리 167-4,1,단독,,1,승용,8250,11111110,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,13:00,18:00,13:00,18:00,,,,,127.4406338,36.70729158
32,2915520121HS2020006,광주 임암수소충전소,062-960-9579,광주광역시 남구 김치로 60 광주김치타운,광주광역시 남구 임암동 674 광주김치타운,1,단독,,1,승용,8200,11111110,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,09:00,18:00,09:00,18:00,,,,,126.8675584,35.10725968
33,3611020121HS2020007,하이넷 세종청사 수소충전소,044-905-5100,세종특별자치시 다솜2로 61 설비동,세종특별자치시 어진동 567 설비동,1,단독,,1,승용,8800,11111101,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,,,08:00,20:00,,,127.2627363,36.50239111
34,2729020121HS2020009,하이넷 대구성서 수소충전소,053-606-1188,대구광역시 달서구 성서공단로 93,대구광역시 달서구 갈산동 980,2,복합,CNG,1,승용,8800,11111101,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,,,08:00,20:00,,,128.4933499,35.83546204
35,4223020121HS2020010,삼척 수소충전소,033-575-5189,강원도 삼척시 동해대로 3846 수소충전소,강원도 삼척시 오분동 126-6 수소충전소,2,복합,LPG,1,승용,8800,11111111,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,,,129.1831926,37.42963176
36,1144020121HS2020011,상암 수소충전소,02-3151-0336,서울특별시 마포구 하늘공원로 108,서울특별시 마포구 상암동 481-34,1,단독,,1,승용,8800,11111111,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,,,126.8783838,37.56877594
37,4159020121HS2020012,하이넷 화성 동탄 수소충전소,031-8043-7800,경기도 화성시 동탄산단7길 38,경기도 화성시 방교동 795-2,1,단독,,1,승용,8800,1111111,,,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,,,127.0860457,37.17751144
38,4511320121HS2020013,하이넷 전주 송천 수소충전소,063-278-0109,전라북도 전주시 덕진구 동부대로 1275,전라북도 전주시 덕진구 송천동2가 1190,2,복합,"LPG,주유소",1,승용,8800,11111101,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,,,08:00,20:00,,,127.1073934,35.86957651
39,4421020121HS2020014,서산시 수소충전소,041-666-7004,충청남도 서산시 상홍검동길 167,충청남도 서산시 음암면 상홍리 916-8,1,단독,,1,승용,7800,11111111,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,,,126.4928859,36.7825129
40,4420020121HS2020015,아산 초사수소충전소,041-536-8870,충청남도 아산시 무궁화로 52-26,충청남도 아산시 초사동 473,1,단독,,5,승용/버스,8400,11111111,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,,,126.9779179,36.74763293
41,4122020121HS2020016,하이넷 평택 팽성수소충전소,031-656-3543,경기도 평택시 청원로 1409,경기도 평택시 장안동 241-1,2,복합,"LPG,주유소",1,승용,8800,11111101,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,,,08:00,20:00,,,127.0609027,36.95458273
42,4122020121HS2020017,평택 블루에너지 수소충전소,031-668-9999,경기도 평택시 팽성로 226,경기도 평택시 팽성읍 남산리 218-8,1,단독,LPG,1,승용,8000,11111111,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,,,127.0802844,37.05354492
43,2811020121HS2020018,하이넷 인천공항T1 수소충전소,070-4304-0786,인천 중구 제2터미널대로 343,인천 중구 운서동 3231-1,1,단독,,1,승용,8800,11111111,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,20:00,08:00,20:00,08:00,20:00,,,126.4749956,37.45024251
44,3023020121HS2020019,하이넷 신탄진휴게소(서울) 수소충전소,070-7780-2046,대전광역시 대덕구 산업단지로 27 신탄진 화물휴게소,대전광역시 대덕구 상서동 236-1 신탄진 화물휴게소,2,복합,"LPG,주유소",1,승용,8800,11111111,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,,,127.4181837,36.42813799
45,4211020121HS2020020,하이넷 춘천휴게소(부산) 수소충전소,070-7780-2047,강원도 춘천시 영서로 1632,강원도 춘천시 동내면 학곡리 848,2,복합,"LPG,주유소,전기",1,승용,8800,11111111,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,,,127.767013,37.81232681
46,2914020121HS2020021,광주 벽진 수소충전소,062-960-9578,광주 서구 눌재로 589,광주광역시 서구 벽진동 628-1,2,복합,CNG,3,버스,8200,11111001,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,,,,09:00,18:00,,,126.8308228,35.12979045
47,4812920121HS2020022,창원 죽곡 수소충전소,055-552-7716,경상남도 창원시 진해구 진해대로 1331,경남 창원시 진해구 죽곡동 262,2,복합,LPG,1,승용,8000,11111111,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,,,128.7208173,35.11448394
48,3114020121HS2020023,울산 투게더수소충전소,052-700-5859,울산광역시 남구 신화로 101,울산광역시 남구 야음동 220-1,1,단독,,1,승용,7000,11111111,08:30,20:30,08:30,20:30,08:30,20:30,08:30,20:30,08:30,20:30,08:30,20:30,08:30,20:30,08:30,20:30,,,129.3405148,35.52616341
49,3171020121HS2020024,울산 덕하복합충전소,052-911-5442,울산광역시 울주군 경부고속도로 44 언양휴게소,울산광역시 울주군 언양읍 반곡리 898-9 언양휴게소,2,복합,CNG,5,승용/버스,7000,11111111,07:30,21:00,07:30,21:00,07:30,21:00,07:30,21:00,07:30,21:00,07:30,21:00,07:30,21:00,07:30,21:00,,,129.309184,35.47529517
50,4315020121HS2020025,제천 삼보수소충전소,043-653-5987,충청북도 제천시 북부로 913,충청북도 제천시 봉양읍 원박리 903,1,단독,,1,승용,8800,11111111,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,18:00,08:00,18:00,08:00,18:00,,,128.0731443,37.13910982
51,3114020121HS2021001,에어프로덕츠 울산 수소충전소,052-259-4090,울산광역시 남구 처용로487번길 83 한국산업가스㈜,울산광역시 남구 용연동 581-8 한국산업가스(주),1,단독,,1,승용,7000,11111000,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,,,,,,,,129.3581396,35.48350771
52,3011020121HS2021002,대전 대성 중도가스 충전소,042-282-2313,대전광역시 동구 대전로 295,대전 동구 대성동 206-1,2,복합,LPG,1,승용,8800,11111111,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,,,127.4606645,36.29442952
53,4377020121HS2021003,음성 삼한수소충전소,043-878-5149,충청북도 음성군 중원대로 792,충청북도 음성군 생극면 차평리 593-16,2,복합,LPG,1,승용,8250,11111111,05:30,23:00,05:30,23:00,05:30,23:00,05:30,23:00,05:30,23:00,05:30,23:00,05:30,23:00,05:30,23:00,,,127.601805,37.05459594
54,1165020121HS2021004,양재 그린카스테이션,02-529-4250,서울특별시 서초구 바우뫼로12길 73,서울특별시 서초구 양재동 201-1 현대기아차 그린에너지 스테이션 B동,1,단독,,1,승용,8800,11111111,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,,,127.0345259,37.46823554
55,4377020121HS2021005,음성 휴게소(통영방향) 수소충전소,043-878-5039,충청북도 음성군 중부고속도로 51 음성휴게소 하 주유소,충청북도 음성군 삼성면 용성리 44-2 음성휴게소 하 주유소,2,복합,"LPG,주유소,전기",1,승용,8000,11111111,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,,,127.4809286,37.01766216
56,4111720121HS2021006,하이넷 수원 영통 수소충전소,070-5014-4853,경기도 수원시 영통구 광교호수로 250,경기도 수원시 영통구 하동,2,복합,CNG,1,승용,8800,11111101,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,,,08:00,20:00,,,127.0784953,37.28658794
57,4817020121HS2021007,진주 수소충전소(LPG 복합),055-741-1122,경상남도 진주시 판문로 192,경상남도 진주시 판문동 517-16,2,복합,LPG,1,승용,8000,11111111,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,08:00,18:00,08:00,18:00,07:00,21:00,,,128.0400565,35.18356089
58,4127320121HS2021008,안산 수소e로움 충전소,031-492-7047,경기도 안산시 단원구 첨단로 660,경기도 안산시 단원구 초지동 672-2 안산 수소e로움 충전소,1,단독,,1,승용,7800,11111111,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,,,126.7933443,37.29612848
59,4376020121HS2021009,개미 수소충전소,043-832-3939,충청북도 괴산군 읍내로 55 개미주유소,충청북도 괴산군 괴산읍 대사리 314-4 개미주유소,2,복합,주유소,1,승용,8250,11111111,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,,,127.7759501,36.79900515
60,4155020121HS2021010,안성 수소충전소,031-671-5385,경기도 안성시 경부고속도로 372,경기도 안성시 원곡면 산하리 425-1,1,단독,,1,승용,8800,11111111,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,12:00,13:00,127.2812408,37.00072014
61,4514020121HS2021011,익산2공단 수소충전소(넝쿨),063-833-5641,전라북도 익산시 석암로 171,전라북도 익산시 석암동 389-128,2,복합,LPG,1,승용,8800,11111101,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,,,08:00,20:00,,,127.0079023,35.94270611
62,4159020121HS2021012,하이넷 화성시청 충전소,070-4175-4420,경기도 화성시 향남읍 향남로 470,경기 화성시 향남읍 도이리 668,1,단독,,1,승용,8800,11111111,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,,,126.8298841,37.19757183
63,4825020121HS2021013,김해 수소충전소,055-313-0860,경상남도 김해시 김해대로2596번길 53,경상남도 김해시 안동 540-4,1,단독,,1,승용,8000,11111111,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,09:00,18:00,09:00,18:00,09:00,18:00,,,128.9136615,35.22604501
64,4211020121HS2021014,춘천 동내 수소충전소,033-262-6664,강원도 춘천시 영서로 1432 춘천휴게소,강원도 춘천시 동내면 사암리 121-1 춘천휴게소,1,단독,,1,승용,8800,11111111,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,,,127.7593178,37.82228335
65,4311320121HS2021015,가로수 수소충전소,043-231-5177,충청북도 청주시 흥덕구 가로수로 793 가로수 수소충전소,충청북도 청주시 흥덕구 석소동 37-3 가로수 수소충전소,2,복합,주유소,1,승용,8250,11111111,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,,,127.3868367,36.62059968
66,2811020121HS2021016,하이넷 인천공항T2 수소충전소,070-4304-3764,인천광역시 중구 공항동로135번길 233,인천광역시 중구 운서동 3212,1,단독,,1,승용,8800,11111111,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,20:00,08:00,20:00,08:00,20:00,,,126.423642,37.48167586
67,4159020121HS2021017,화성 향남(종합경기타운 내),031-359-8475,경기 화성시 남양읍 시청로 159 화성시청,경기도 화성시 남양읍 남양리 1853-10,1,단독,,1,승용,8800,11011110,08:00,21:00,08:00,21:00,00:00,00:00,08:00,21:00,08:00,21:00,08:00,17:00,08:00,17:00,,,,,126.9247672,37.13900398
68,4221020121HS2021018,속초 수소충전소,033-638-3003,강원도 속초시 동해대로 4521,강원도 속초시 장사동,2,복합,LPG,1,승용,8800,11111111,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,,,128.5634387,38.21720885
69,4122020121HS2021019,평화 수소충전소,031-683-0116,경기도 평택시 서해로 506,경기도 평택시 현덕면 기산리 135-12,2,복합,주유소,1,승용,8000,11111111,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,,,126.9139606,36.94556069
70,4427020121HS2021020,하이넷 당진정미 수소충전소,041-356-8814,충청남도 당진시 가곡로 189,충청남도 당진시 송산면,2,복합,LPG,1,승용,8800,11111101,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,,,08:00,20:00,,,126.5836975,36.83852012
71,4413320121HS2021022,망향휴게소(부산),041-557-6161,충청남도 천안시 서북구 돌다리길 23-37 망향휴게소,충청남도 천안시 서북구 성거읍 요방리 121 망향휴게소,2,복합,LPG,1,승용,8800,11111111,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,,,127.1808806,36.85366859
72,4420020121HS2021023,하이넷 아산인주 수소충전소,070-4454-9110,충청남도 아산시 현대로1029번길 200-2 양지관,충청남도 아산시 인주면 대음리 197-4 양지관,1,단독,,1,승용,8800,11111101,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,,,08:00,20:00,,,126.8596271,36.84537621
73,4213020121HS2021024,하이넷 문막휴게소 수소충전소,033-734-0764,강원도 원주시 원문로 1234 문막하행휴게소,강원도 원주시 문막읍 동화리 113 문막하행휴게소,2,복합,"LPG,주유소,전기",1,승용,8800,11111111,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,,,127.8589135,37.33617124
74,4146120121HS2021025,하이넷 에버랜드 수소충전소,070-4647-0117,경기도 용인시 처인구 포곡읍 곡현로 74,경기도 용인시 처인구 포곡읍 유운리 392,2,복합,CNG,1,승용,8800,1111111,,,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,,,127.2224795,37.29335226
75,4413320121HS2021026,천안시 수소충전소,041-523-4839,충청남도 천안시 서북구 번영로 156(불당동),충청남도 천안시 서북구 불당동 234-1 천안시청,1,단독,,1,승용,8400,11111111,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,,,127.1102057,36.81504688
76,3611020121HS2021027,하이넷 세종대평 수소충전소,070-4196-7002,세종특별자치시 종합운동장로 29(대평동),세종특별자치시 대평동 576-10 수소충전소,2,복합,주유소,1,승용,8800,11111101,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,,,08:00,20:00,,,127.2663895,36.46923021
77,4833020121HS2021028,양산시 증산수소충전소,055-387-0409,경상남도 양산시 물금읍 메기로 114,경상남도 양산시 물금읍 증산리 95-3,2,복합,CNG,5,승용/버스,8000,11111111,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,,,129.0101936,35.30317472
78,3023020121HS2021029,신대 수소충전소,042-716-7363,대전광역시 대덕구 신탄진로 315번길 72,대전광역시 대덕구 신대동 4-1,1,단독,,5,승용/버스,8200,11111111,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,,,127.4226663,36.4081777
79,4113320121HS2021030,성남시 수소충전소,031-755-7600,경기도 성남시 중원구 경충대로 2659,경기도 성남시 중원구 갈현동 546-7,2,복합,"LNG,전기",1,승용,8800,11111111,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,,,127.1551905,37.42175776
